"AnimalName","AnimalGender","AnimalBirthYear","BreedName","ZipCode","LicenseIssuedDate","LicenseExpiredDate","Extract.Year","Borough","BoroughPop","lon","lat"
"JORDAN","F",2007,"American Staffordshire Terrier",10040,"10/07/2014","10/07/2016",2016,"Manhattan",1649114,-73.9330429,40.8639624
"MOJO","M",2010,"German Shepherd Crossbreed",11222,"10/09/2014","10/29/2016",2016,"Brooklyn",2621793,-73.9506774,40.7282702
"JACK","M",2004,"German Shepherd Crossbreed",10128,"12/13/2014","12/30/2017",2016,"Manhattan",1649114,-73.9506774,40.7826039
"LULU","F",2010,"Poodle, Miniature",11211,"09/26/2014","09/26/2018",2016,"Brooklyn",2621793,-73.9565551,40.7093358
"LOUIE","M",2008,"Papillon",11105,"10/01/2014","09/07/2017",2016,"Queens",2321580,-73.9065883,40.7787902
"TACO","M",2012,"Pointer",11222,"12/22/2014","01/23/2020",2016,"Brooklyn",2621793,-73.9506774,40.7282702
"SAMMY","M",2006,"Shiba Inu",10011,"09/17/2014","10/31/2016",2016,"Manhattan",1649114,-74.0094471,40.7464969
"CHUEY","M",2012,"Labradoodle",10026,"12/14/2014","01/19/2020",2016,"Manhattan",1649114,-73.9525825,40.8032131
"ROCKY","M",2006,"Bull Dog, English",11220,"12/16/2014","12/11/2016",2016,"Brooklyn",2621793,-74.0153231,40.6385229
"BONNIE","F",2009,"Maltese",11358,"09/26/2014","10/21/2016",2016,"Queens",2321580,-73.7977928,40.760743
"MIA","F",2012,"Shih Tzu",11374,"11/01/2014","11/01/2016",2016,"Queens",2321580,-73.8624893,40.7255722
"PHOENXI","F",2006,"Maltese",10128,"10/11/2014","10/11/2019",2016,"Manhattan",1649114,-73.9506774,40.7826039
"HUMFREY","M",2009,"Shih Tzu",10021,"10/14/2014","10/14/2017",2016,"Manhattan",1649114,-73.9580246,40.7700703
"ROSIE","F",2013,"American Pit Bull Mix / Pit Bull Mix",10470,"10/18/2014","10/18/2019",2016,"Bronx",1438159,-73.8683697,40.8990767
"LOLA","F",2002,"Dachshund",10011,"10/04/2014","10/04/2017",2016,"Manhattan",1649114,-74.0094471,40.7464969
